Location	X Coordinate	Y Coordinate	Precedence Label
1	6734	1453	-
2	2233	10	1
3	5530	1424	2
4	401	841	0
5	3082	1644	5
6	7608	4458	1
7	7573	3716	0
8	7265	1268	4
9	6898	1885	4
10	1112	2049	5
11	5468	2606	3
12	5989	2873	1
13	4706	2674	5
14	4612	2035	1
15	6347	2683	1
16	6107	669	1
17	7611	5184	0
18	7462	3590	2
19	7732	4723	3
20	5900	3561	1
21	4483	3369	3
22	6101	1110	5
23	5199	2182	2
24	1633	2809	2
25	4307	2322	1
26	675	1006	0
27	7555	4819	2
28	7541	3981	1
29	3177	756	1
30	7352	4506	5
31	7545	2801	0
32	3245	3305	1
33	6426	3173	1
34	4608	1198	0
35	23	2216	0
36	7248	3779	5
37	7762	4595	5
38	7392	2244	3
39	3484	2829	1
40	6271	2135	0
41	4985	140	2
42	1916	1569	0
43	7280	4899	2
44	7509	3239	2
45	10	2676	0
46	6807	2993	2
47	5185	3258	0
48	3023	1942	2
